Arg6
Arg10
Lys4
Lys6
Lys8
DimethLys0
DimethNter0
DimethLys4
DimethNter4
DimethLys8
DimethNter8
18O
ICAT-0
ICAT-9
ICPL-Lys0
ICPL-Nter0
ICPL-Lys4
ICPL-Nter4
ICPL-Lys6
ICPL-Nter6
ICPL-Lys10
ICPL-Nter10
mTRAQ-Lys0
mTRAQ-Nter0
mTRAQ-Lys4
mTRAQ-Nter4
mTRAQ-Lys8
mTRAQ-Nter8
DimethLys2
DimethNter2
DimethLys6
DimethNter6
Leu7
Ile7
